texts, polarity, subjectivity
Prepaid President laid the foundation for xenophobia during his Y r we acting surprised? It…,0.05,0.45
That Trevor Noah’s statement was actually stupid. So the anger of xenophobia South Africans is justified^ but again…,-0.366666667,0.7
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
My one man peaceful protest at their Surulere store this morning^ against,0.25,0.5
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
It is okay to be short of words^ speechless^ confused and frustrated about this matter. Be you a celebrity or re…,-0.15,0.425
My bro7. I want to congratulate a brother friend and billionaire for that I’ll be giving out 200k to 5 different…,0,0
My dear South Africans^ Xenophobia will never stop or scare migrants into your country. When it rains^ it falls on al…,0,0
NO ! TO XENOPHOBIA . THE REAL FOREIGNERS ARRIVED HERE WHEN JAN VAN FUCKING REEBECK CAME TO THIS COUNTRY... BUT THEY H…,-0.2,0.55
This tweet isn't going to be about weed. I don't care how many followers I'd lose -I never cared either ways but this b…,0.5,0.5
Sadly^ I’m currently in South Africa and none of their major news outlets are covering their blatant xenophobia and monstrou…,-0.145833333,0.466666667
Xenophobia: Nigerians Retaliate On South African Firms In The Country,0,0
In South Africa they do this to their wives and women. What breaks my heart is that someone stood there recording n watchi…,0,0
Cant disagree with on this^ although I'll also add the current president of SA millionaire businessman Ramapho…,0,0.4
MTN office at bode Thomas Lagos Nigeria,0,0
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
SAY NO TO for awareness.,0,0
(Xenophobia)....THIS IS DEEP!!!....Please retweet this(very important) hopefully it will get to the right authorities in Nige…,-0.021428571,0.845238095
Nigerians are commissioned to raise every issue of Africa? Or have we been silencing everyone else concerning other matters?…,-0.125,0.375
Life of a Nigerian raised abroad. Abroad: Nigerians go home^ we don't want you!!! Nigeria: Go back!!! you are not Nig…,0,0
Dear South Africans^ In case you don’t know your history: Mandela was hidden in Nigeria from the apartheid Govt for 6 months…,-0.166666667,0.333333333
I Seriously wish Buhari is Alive to witness what's going on to Nigerians in South Africa and what happened to Protesters in…,-0.116666667,0.533333333
If you’re not speaking against the stupidity that is then you’re in support of it.,-0.6,1
SA women joining their men to oppress foreigners are the biggest clowns. They bond over xenophobia and attack foreigners as a…,0,0
When the enemy of your enemy becomes your friend😂😂😂,0,0
I don’t rate South African men at this point ... and I’m not trying to create any form of animosity between us and them (that…,0,0
SAY NO TO for awareness.,0,0
has crossed the boundary of sanity this time. They've gone beyond the point of no return and nothing will fix…,0,0
Your people are attacking our Nigerian and Zimbabwean brothers and sisters. We will not visit. The culture of xenophobia ma…,0,0
I am saddened by the stories and videos coming out of South Africa. I’ve also read reports that the Nigerian embassy in…,0,0
This young man here has more wisdom than most adults in South Africa. Especially .. TL:,0.275,0.6
I don't blame you 4 that i would be 2 if... This happe…,0,0
- Vandalization of MTN office in Uyo^ Akwa Ibom^ begins as protesters attack all the properties in the office at the m…,0,0
Xenophobia: ‘Our Brothers And Sisters Do Not Deserve This’- Twitter Agog Over South Africa Violence,0,0
What is the native language equivalent for “xenophobia” in African traditional languages? Awan ode.,0,0.375
Nelson Mandela will be disappointed in South Africa.,-0.75,0.75
Leader says President silence is exacerbating xenophobia more than utteran…,0.5,0.5
What is Buhari doing about the xenophobia?,0,0
There's a demon that's not only dividing our country with xenophobia but it also dividing us by genders.💔💔,0,1
This is just like you pitching the kids in Somalia to go kill the other kids in Uganda beca…,-0.125,0.375
Say no to Xenophobia 💪🏿,0,0
He said he ‘lived’ there for sometime which means he isn’t there anymore. Has reading become a S…,0,0
People say why are celebrities not speaking out loud about the issue. Well remember when you people alw…,0.1,0.8
Anytime he opened his eyes to behold what was around him^ he closed them again and silently wished he were blind.…,-0.05,0.1
This will not end well. Looks like Nigerians are now retaliating in If there is leadership in this coun…,0,0
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
(Xenophobia)....THIS IS DEEP!!!....Please retweet this(very important) hopefully it will get to the right authorities in Nige…,-0.021428571,0.845238095
During the apartheid era in Nigeria was one of the foremost supporters of anti-apartheid movements. The Nigeri…,0,0
Xenophobia: Nigerian mission in South Africa gives update,0,0
Just received reports of reprisal attacks at Shoprite in Lekki^ Lagos state. I know as Nigerians we are offended at the…,0,0
There are actually some educated illiterates that agree with Xenophobia. Na God go punish una! The heroes and legends you w…,0,0.1
,0,0
Vector has cancelled his South Africa tour because of this xenophobia BS 🙌🏻 how many times will i Stan today? 😩 i reStan…,0.5,0.5
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
She’s only apologising Cos of the damage it will bring to her account. Please don’t fall for it. Retweet if you see this on…,0,1
Man’s talking about stopping you’re worried about his Grammy.,0,0
🎥: Listen to this Professor explain the history of Xenophobia earlier this year when Malawi citizens were attacked in S…,0,0.5
One of the reasons why I will always choose Wizkid over Davido any time ..common sense over politics..🤗🤗,0,0
Ma^ everything is linked. Xenophobia is an ideological thing and ideologies don't grow in a day. D…,0,0
See Nigeria Turning Upside down... Ejor what has pep done? Ya'll see how we are doing ourselves? Some people might Just…,-0.155555556,0.288888889
Dear Nigerian leaders^ when your escorts slap us on the road and SARS officers shoot us dead while police brutality is use…,-0.2,0.4
